utm_campaign_name,marketing_event_type,marketing_event_target,orders,total_sales
94213874da-EMAIL_CAMPAIGN_2017_06_13,,,6,840.00
June_27_2017_newsletter_Geo_Navy,,,4,840.00
JC - Non-Brand (Phrase),,,4,827.00
02.02.17 newsletter new ponte,,,2,824.20
c788a0d68b-EMAIL_CAMPAIGN_2017_07_14,,,3,821.00
June_6_2017_Carousel_Lookbook,,,2,812.00
May_Launch_Video_1,,,2,792.00
c78cfb3fd1-EMAIL_CAMPAIGN_2017_09_05,,,2,792.00
July_6_2017_newsletter,,,3,792.00
c860750f76-New+Subscriber+Welcome+Automation,,,6,785.00
23d221e739-EMAIL_CAMPAIGN_2017_09_28,,,7,779.20
01.12.17 newsletter shop dresses,,,7,775.00
03.02.17 newsletter watch the collection video,,,4,764.00
11.10.16 newsletter shop mod floral midnight,,,4,762.00
2041a49992-EMAIL_CAMPAIGN_2017_15_Jude_Tunics,newsletter,email,6,752.00
03.20.17 newsletter shop ponte,,,3,744.00
08.28.17,,,4,733.00
04.06.2017_Launch_lookbook,,,6,732.00
02.13.17 newsletter shop new arrivals,,,5,727.00
03.16.17 newsletter shop march,,,5,722.00
July_20_2017_Newsletter_Shop_Print,,,2,722.00
Pre-Spring_FEB_1,,,4,722.00
July_20_2017_Newsletter_Bethany,,,2,722.00
05_22_2017_Image_2,,,3,722.00
05_08_2017_Newsletter_Image_2,,,4,712.00
May_15_Bethany,,,3,702.00
05.04.17,,,4,694.20
04.17..2017_Shop_Collection,,,4,692.00
June_29_2017_Newsletter_Dresses_1,,,3,692.00
June_5_2017_Newsletter_Dresses,,,3,682.00
July_27_2017_Newsletter_Shop_New_Arrivals,newsletter,,2,675.00
03.06.17 newsletter shop the print,,,2,669.00
05_22_Collection,,,3,662.00
15607d31cf-EMAIL_CAMPAIGN_2017_08_26_Cold_Shoulder,,,4,653.20
10-24_Flash,,,4,643.50
JC - Brand (Exact),newsletter,,4,623.00
052417_CEM_Plat,,,1,622.00
03.06.17 newsletter shop poppy,,,2,614.00
PBG Holiday Sale_12.4,,,2,614.00
June_8_2017_Separates,,,3,614.00
March_Launch_Video_2_Web_visitors_180,,,2,604.00
04.10.17,,,1,602.00
02.02.17 newsletter shop off the shoulder,,,5,599.00
11.17.16 newsletter shop final sale bottoms,,,8,590.40
fb8918d312-EMAIL_CAMPAIGN_2017_07_20,,,3,589.00
remarketing,newsletter,,2,585.00
July_24_2017_Newsletter_Shop_Dresses,,,5,584.00
8e4c997a9a-EMAIL_Jack_Rogers_Trunk__2017_06_13,,,2,584.00
July_6_2017_newsletter_Collection,newsletter,email,1,582.00
WPB Holiday Sale_3_Fl,,,2,575.00
12.01.16,,,4,573.60
04.24..2017_Image_3_new_arrivals,,,5,564.00
July_17_2017_Newsletter_Separates,,,2,559.00
05_22_Image_1,,,2,554.00
03.02.17 newsletter shop gingham,,,3,554.00
June_29_2017_Newsletter_Dresses_2,,,6,554.00
03.20.17,,,1,554.00
10.26.16 newsletter warehouse sale,,,3,554.00
JC - Brand - Dresses (Exact),newsletter,,3,550.00
03.16.17 newsletter shop stripes,,,4,544.00
04.17..2017_Ponte_Image_2,,,2,534.00
04.17..2017_Emilia_Image_1,,,3,524.00
6300d547a2-EMAIL_CAMPAIGN_2017_11_06,,,2,516.00
09.18.17,,,1,516.00
05_01_email_Jude_Connally,,,3,506.20
09.07.17,,,2,506.00
new subscriber email fall,,,4,503.20
05_15_Lookbook,,,3,499.00
May_11_Image_3,,,2,498.40
June_2017_Video_2_top_cities,,,3,494.00
Warehouse_Sale,,,1,484.00
49be9cc29a-EMAIL_CAMPAIGN_2017_10_26,,,2,475.20
5b87065769-EMAIL_CAMPAIGN_2017_06_26,,,3,474.00
02.23.17 newsletter shop graphic geo black,,,1,464.00
May_15_Image_Link_1,,,3,464.00
08.10.17,,,2,455.00
November_launch,,,2,446.00
July_10_2017_Newsletter,newsletter,email,1,426.00
c788a0d68b-EMAIL_CAMPAIGN_2017_07_14,newsletter,email,1,416.00
12.8.16 newsletter accessories,,,1,416.00
12.1.16 newsletter shop sale tops,,,1,410.40
11.29.16 newsletter holiday warehouse sale,,,2,408.40
