# ----------------------------------------
# rebeccaminkoff.com
# Channels
# 20160209-20171108
# ----------------------------------------

Source / Medium,Date,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Ecommerce Conversion Rate,Transactions,Revenue
google / organic,20170721,"4,039",50.11%,"2,024",24.51%,5.03,00:04:23,0.50%,20,"$3,889.19"
(direct) / (none),20170418,"4,038",75.26%,"3,039",27.07%,2.70,00:02:03,0.54%,22,"$4,407.95"
google / organic,20170728,"4,035",50.36%,"2,032",25.28%,5.24,00:04:12,0.55%,22,"$3,464.33"
(direct) / (none),20170328,"4,034",72.43%,"2,922",21.17%,2.80,00:02:11,0.55%,22,"$3,954.00"
google / cpc,20161023,"4,033",51.38%,"2,072",17.56%,5.85,00:04:27,0.57%,23,"$4,433.71"
google / organic,20171002,"4,033",52.34%,"2,111",29.01%,5.38,00:04:41,1.09%,44,"$9,684.52"
google / organic,20170826,"4,032",48.14%,"1,941",29.22%,5.38,00:04:34,0.45%,18,"$2,956.48"
bm23 / email,20160725,"4,031",23.79%,959,33.54%,4.00,00:03:27,0.89%,36,"$6,300.15"
google / cpc,20170718,"4,031",45.20%,"1,822",17.54%,4.99,00:03:49,0.82%,33,"$6,062.17"
(direct) / (none),20170804,"4,030",76.00%,"3,063",64.79%,2.66,00:01:46,0.37%,15,"$2,349.19"
google / cpc,20160725,"4,028",50.30%,"2,026",18.02%,5.10,00:03:50,0.72%,29,"$4,736.53"
cj / affiliate,20160410,"4,019",67.33%,"2,706",22.39%,1.49,00:00:58,0.32%,13,"$2,379.14"
(direct) / (none),20170921,"4,016",76.10%,"3,056",63.20%,3.01,00:02:11,0.65%,26,"$5,376.41"
(direct) / (none),20171008,"4,015",76.39%,"3,067",61.15%,3.32,00:02:30,0.67%,27,"$4,391.55"
google / organic,20160709,"4,015",50.14%,"2,013",21.37%,5.07,00:04:12,0.60%,24,"$2,907.17"
bm23 / email,20170417,"4,014",26.33%,"1,057",30.79%,3.77,00:03:12,0.57%,23,"$4,416.05"
google / cpc,20160829,"4,014",48.56%,"1,949",17.29%,4.97,00:03:32,0.67%,27,"$5,128.49"
google / organic,20170825,"4,011",49.09%,"1,969",27.57%,5.31,00:04:19,0.40%,16,"$3,899.58"
(direct) / (none),20170611,"4,010",77.16%,"3,094",39.55%,2.75,00:01:47,0.27%,11,"$1,487.47"
google / organic,20170708,"4,009",48.82%,"1,957",24.92%,5.04,00:04:14,0.77%,31,"$4,027.81"
google / cpc,20170610,"4,007",52.93%,"2,121",22.19%,3.89,00:02:35,0.62%,25,"$3,660.14"
(direct) / (none),20170805,"3,999",77.24%,"3,089",61.79%,2.96,00:02:05,0.48%,19,"$3,755.89"
google / organic,20170415,"3,999",52.91%,"2,116",19.95%,5.07,00:04:26,0.53%,21,"$4,256.54"
ls / affiliate,20170120,"3,998",49.75%,"1,989",21.99%,3.01,00:02:29,0.95%,38,"$6,034.10"
(direct) / (none),20170505,"3,996",78.45%,"3,135",38.09%,2.74,00:02:01,0.58%,23,"$4,013.20"
google / organic,20170618,"3,996",48.55%,"1,940",25.05%,5.33,00:04:32,0.70%,28,"$4,844.17"
Facebook / paidsocial,20170218,"3,995",30.49%,"1,218",28.69%,5.01,00:03:59,0.60%,24,"$4,014.42"
bm23 / email,20170610,"3,994",26.11%,"1,043",33.22%,3.75,00:02:47,0.65%,26,"$5,230.35"
google / organic,20170828,"3,994",47.25%,"1,887",28.74%,5.45,00:04:29,0.63%,25,"$4,903.39"
google / cpc,20160825,"3,993",46.08%,"1,840",18.58%,5.10,00:03:49,0.98%,39,"$7,925.13"
google / cpc,20170405,"3,993",45.63%,"1,822",17.18%,4.64,00:03:36,1.13%,45,"$7,762.52"
google / cpc,20160229,"3,992",45.12%,"1,801",26.75%,4.93,00:03:35,0.78%,31,"$5,972.43"
bm23 / email,20170713,"3,991",21.20%,846,30.92%,4.58,00:04:00,1.10%,44,"$7,689.90"
cj / affiliate,20160701,"3,989",42.62%,"1,700",25.39%,4.15,00:04:01,1.78%,71,"$8,689.00"
google / organic,20170818,"3,988",47.54%,"1,896",25.40%,5.28,00:04:16,0.45%,18,"$3,459.23"
(direct) / (none),20170730,"3,986",74.64%,"2,975",63.30%,2.97,00:01:49,0.43%,17,"$2,737.43"
bm23 / email,20170622,"3,986",28.15%,"1,122",35.35%,3.83,00:03:10,0.95%,38,"$5,796.21"
google / cpc,20160524,"3,984",48.87%,"1,947",11.72%,5.05,00:03:57,1.18%,47,"$7,780.73"
google / cpc,20160720,"3,984",48.57%,"1,935",19.65%,5.03,00:03:46,0.83%,33,"$6,166.68"
google / cpc,20170411,"3,981",48.40%,"1,927",16.20%,4.58,00:03:31,0.88%,35,"$6,701.21"
google / cpc,20170825,"3,981",50.44%,"2,008",32.00%,4.60,00:03:34,0.83%,33,"$5,598.20"
google / cpc,20170408,"3,979",49.33%,"1,963",17.59%,4.31,00:03:05,0.80%,32,"$4,539.41"
google / cpc,20170406,"3,976",47.76%,"1,899",18.23%,4.44,00:03:23,0.93%,37,"$6,401.31"
(direct) / (none),20170609,"3,975",76.73%,"3,050",39.35%,2.58,00:01:42,0.68%,27,"$3,843.22"
google / cpc,20170416,"3,971",45.20%,"1,795",15.34%,4.96,00:03:36,0.96%,38,"$6,743.30"
(direct) / (none),20170430,"3,968",76.64%,"3,041",37.15%,2.88,00:02:07,0.48%,19,"$3,183.03"
(direct) / (none),20170929,"3,968",75.83%,"3,009",61.90%,3.06,00:02:23,0.73%,29,"$4,367.39"
(direct) / (none),20170729,"3,967",76.20%,"3,023",63.17%,2.86,00:01:51,0.28%,11,"$1,588.88"
baidu / organic,20161124,"3,967",44.72%,"1,774",9.48%,8.30,00:10:51,1.11%,44,"$6,442.97"
google / cpc,20160719,"3,967",49.11%,"1,948",19.23%,5.05,00:03:54,1.06%,42,"$5,798.63"
(direct) / (none),20170329,"3,966",71.15%,"2,822",20.88%,2.96,00:02:16,0.38%,15,"$2,475.96"
google / organic,20171106,"3,966",55.50%,"2,201",29.12%,3.54,00:03:33,0.71%,28,"$3,665.73"
(direct) / (none),20170428,"3,964",77.70%,"3,080",37.34%,2.86,00:02:04,0.58%,23,"$4,443.60"
eean / affiliate,20160703,"3,961",34.71%,"1,375",20.68%,4.09,00:03:58,0.98%,39,"$5,677.48"
google / cpc,20160506,"3,960",50.83%,"2,013",14.04%,5.00,00:03:52,0.81%,32,"$5,453.48"
google / cpc,20160227,"3,958",45.98%,"1,820",26.58%,4.99,00:03:33,0.53%,21,"$4,482.43"
google / cpc,20160611,"3,957",45.51%,"1,801",21.78%,4.96,00:03:50,0.99%,39,"$6,096.36"
google / cpc,20170818,"3,957",48.77%,"1,930",30.60%,4.38,00:03:10,0.53%,21,"$4,595.22"
google / organic,20171101,"3,957",47.94%,"1,897",28.99%,3.97,00:04:09,0.78%,31,"$4,954.91"
google / cpc,20161018,"3,956",45.65%,"1,806",17.06%,5.59,00:04:28,0.81%,32,"$4,321.61"
Criteo / retargeting,20161219,"3,952",13.13%,519,23.18%,4.91,00:04:40,1.85%,73,"$9,345.06"
google / cpc,20160721,"3,952",49.57%,"1,959",18.19%,5.10,00:03:56,0.73%,29,"$3,853.24"
google / cpc,20170407,"3,951",48.92%,"1,933",16.93%,4.50,00:03:39,0.99%,39,"$7,964.85"
ls / affiliate,20170211,"3,950",63.97%,"2,527",26.71%,2.76,00:02:11,1.47%,58,"$10,085.43"
google / organic,20171004,"3,948",50.79%,"2,005",27.94%,5.44,00:04:44,0.79%,31,"$5,723.06"
bm23 / email,20170530,"3,947",20.12%,794,31.34%,4.26,00:03:55,1.32%,52,"$7,004.89"
google / cpc,20160806,"3,945",45.02%,"1,776",22.76%,5.16,00:04:13,1.04%,41,"$5,477.18"
google / cpc,20160505,"3,940",49.85%,"1,964",13.05%,5.03,00:03:51,0.94%,37,"$6,848.56"
google / organic,20171017,"3,940",55.84%,"2,200",31.57%,3.82,00:03:42,0.66%,26,"$4,738.91"
(direct) / (none),20170523,"3,939",77.43%,"3,050",35.67%,2.86,00:01:59,0.71%,28,"$3,955.81"
(direct) / (none),20170926,"3,939",75.96%,"2,992",59.71%,3.30,00:02:37,0.91%,36,"$6,345.35"
bm23 / email,20171022,"3,937",47.47%,"1,869",45.24%,3.14,00:03:03,0.94%,37,"$5,483.42"
google / cpc,20170820,"3,936",49.01%,"1,929",35.75%,4.58,00:03:13,0.53%,21,"$4,085.57"
bm23 / email,20161106,"3,933",17.70%,696,32.60%,4.40,00:03:49,1.63%,64,"$10,781.85"
ls / affiliate,20170318,"3,929",59.28%,"2,329",26.65%,3.05,00:02:52,1.20%,47,"$6,908.64"
bm23 / email,20161220,"3,925",14.29%,561,20.92%,6.50,00:06:15,3.01%,118,"$19,187.60"
bm23 / email,20170302,"3,925",21.30%,836,28.74%,4.73,00:04:09,1.86%,73,"$12,938.65"
bm23 / email,20170828,"3,925",26.06%,"1,023",40.76%,3.58,00:02:54,0.64%,25,"$4,892.54"
google / cpc,20160420,"3,925",47.46%,"1,863",17.07%,4.42,00:03:18,0.69%,27,"$3,990.26"
(direct) / (none),20171004,"3,923",74.13%,"2,908",60.44%,3.25,00:02:36,0.76%,30,"$5,540.41"
facebook / paidsocial,20160705,"3,923",30.49%,"1,196",22.43%,5.00,00:04:21,0.84%,33,"$4,797.74"
google / cpc,20160415,"3,923",45.45%,"1,783",13.08%,5.13,00:04:06,1.15%,45,"$7,878.57"
google / cpc,20160622,"3,919",47.36%,"1,856",17.48%,5.52,00:04:18,1.07%,42,"$5,803.67"
(direct) / (none),20170521,"3,918",79.45%,"3,113",41.58%,2.63,00:01:42,0.18%,7,"$1,124.70"
facebook / social,20161027,"3,918",18.84%,738,27.95%,4.66,00:04:09,0.77%,30,"$5,219.99"
google / organic,20170611,"3,916",50.26%,"1,968",21.91%,5.37,00:04:29,0.56%,22,"$3,068.40"
google / cpc,20170414,"3,913",46.82%,"1,832",15.84%,4.74,00:03:44,0.89%,35,"$6,319.19"
google / organic,20160716,"3,913",50.17%,"1,963",21.93%,5.25,00:04:21,0.51%,20,"$2,834.71"
google / cpc,20160317,"3,908",49.39%,"1,930",18.65%,4.90,00:03:32,0.87%,34,"$6,633.15"
google / cpc,20160219,"3,905",46.81%,"1,828",27.02%,4.97,00:03:42,0.74%,29,"$5,051.71"
google / organic,20170701,"3,905",47.58%,"1,858",21.84%,5.46,00:04:39,0.90%,35,"$5,508.69"
bm23 / email,20160622,"3,904",26.33%,"1,028",33.02%,3.57,00:03:02,0.90%,35,"$4,731.94"
google / cpc,20170410,"3,902",48.69%,"1,900",16.07%,4.58,00:03:22,1.03%,40,"$8,113.34"
ls / affiliate,20161208,"3,902",60.79%,"2,372",34.96%,2.90,00:02:22,1.79%,70,"$13,950.67"
(direct) / (none),20170501,"3,901",76.26%,"2,975",35.73%,3.04,00:02:16,0.69%,27,"$3,332.83"
(direct) / (none),20170429,"3,899",77.81%,"3,034",37.70%,2.78,00:01:52,0.59%,23,"$4,320.22"
google / cpc,20160823,"3,898",48.26%,"1,881",17.03%,4.80,00:03:44,0.92%,36,"$5,808.59"
google / cpc,20160322,"3,892",49.15%,"1,913",19.78%,4.78,00:03:35,1.03%,40,"$8,594.46"
ls / affiliate,20161101,"3,890",42.03%,"1,635",29.59%,4.03,00:03:36,3.47%,135,"$21,667.52"
google / cpc,20160421,"3,883",47.36%,"1,839",16.40%,4.86,00:03:46,1.29%,50,"$8,476.54"
google / cpc,20160428,"3,883",48.73%,"1,892",13.24%,5.24,00:04:06,1.57%,61,"$11,202.38"
(direct) / (none),20171002,"3,882",75.55%,"2,933",62.78%,3.23,00:02:26,0.70%,27,"$5,959.85"
bm23 / email,20161224,"3,882",15.69%,609,28.39%,5.86,00:05:24,1.70%,66,"$8,844.79"
(direct) / (none),20170617,"3,881",76.01%,"2,950",63.57%,2.78,00:01:51,0.62%,24,"$3,240.26"
google / cpc,20160830,"3,881",46.69%,"1,812",15.23%,4.95,00:03:44,0.85%,33,"$7,022.64"
bm23 / email,20170825,"3,879",24.90%,966,38.57%,3.85,00:03:01,0.62%,24,"$5,431.69"
google / cpc,20170412,"3,874",50.44%,"1,954",15.75%,4.42,00:03:22,0.77%,30,"$4,703.27"
google / cpc,20170421,"3,873",45.99%,"1,781",16.78%,4.74,00:03:46,1.27%,49,"$8,544.47"
(direct) / (none),20170519,"3,872",78.41%,"3,036",38.12%,2.68,00:01:47,0.41%,16,"$2,991.26"
Rebecca Minkoff Newsletter / email,20160319,"3,872",24.61%,953,26.39%,3.48,00:02:46,0.36%,14,"$3,276.45"
google / cpc,20160615,"3,871",44.54%,"1,724",19.27%,5.02,00:04:02,1.16%,45,"$6,613.30"
google / cpc,20171016,"3,870",62.87%,"2,433",38.24%,3.21,00:02:36,0.59%,23,"$4,644.85"
google / organic,20170729,"3,866",47.62%,"1,841",24.24%,5.47,00:04:39,0.57%,22,"$4,280.70"
google / cpc,20160824,"3,855",47.42%,"1,828",18.60%,5.15,00:03:52,0.80%,31,"$4,417.39"
google / cpc,20170821,"3,854",49.27%,"1,899",34.15%,4.40,00:03:09,0.67%,26,"$4,698.26"
bm23 / email,20170407,"3,853",25.75%,992,33.95%,3.64,00:02:53,0.96%,37,"$6,402.35"
ls / affiliate,20160930,"3,847",52.35%,"2,014",33.74%,4.17,00:04:05,2.37%,91,"$15,664.41"
google / cpc,20160416,"3,846",48.88%,"1,880",14.72%,4.49,00:03:23,0.96%,37,"$5,582.55"
bm23 / email,20161122,"3,845",16.05%,617,27.31%,4.82,00:04:40,2.11%,81,"$13,206.41"
google / cpc,20161019,"3,839",47.04%,"1,806",14.22%,5.82,00:04:55,1.22%,47,"$7,042.94"
google / organic,20170616,"3,838",48.88%,"1,876",24.02%,5.15,00:04:41,0.86%,33,"$4,831.18"
google / organic,20170922,"3,837",49.07%,"1,883",29.22%,5.48,00:04:35,0.42%,16,"$3,090.97"
(direct) / (none),20170506,"3,834",79.03%,"3,030",38.00%,2.93,00:01:59,0.37%,14,"$1,929.90"
Facebook / paidsocial,20170901,"3,834",24.93%,956,28.33%,5.23,00:04:07,0.63%,24,"$3,554.74"
google / organic,20170617,"3,832",50.13%,"1,921",24.58%,5.14,00:04:18,0.47%,18,"$2,482.35"
google / cpc,20160413,"3,829",46.80%,"1,792",13.58%,4.60,00:03:17,0.97%,37,"$6,471.76"
google / organic,20170804,"3,829",49.44%,"1,893",25.83%,5.27,00:04:29,0.65%,25,"$5,448.02"
bm23 / email,20171005,"3,828",27.66%,"1,059",36.96%,3.96,00:03:28,0.73%,28,"$4,604.67"
google / cpc,20160319,"3,824",49.90%,"1,908",18.46%,5.05,00:03:42,0.65%,25,"$6,783.46"
ls / affiliate,20170203,"3,824",50.89%,"1,946",23.56%,3.95,00:03:26,1.80%,69,"$11,592.16"
bm23 / email,20170607,"3,823",22.84%,873,30.63%,4.15,00:03:27,1.15%,44,"$5,403.17"
bm23 / email,20170114,"3,822",16.72%,639,29.25%,5.02,00:04:16,1.73%,66,"$8,662.14"
google / cpc,20170331,"3,820",46.13%,"1,762",17.88%,4.41,00:03:29,1.05%,40,"$7,042.94"
Rebecca Minkoff Newsletter / email,20160425,"3,819",26.58%,"1,015",18.28%,3.57,00:03:06,0.29%,11,"$2,626.09"
(direct) / (none),20170922,"3,817",76.40%,"2,916",66.39%,2.90,00:02:01,0.39%,15,"$2,376.20"
ls / affiliate,20170208,"3,815",48.62%,"1,855",25.50%,3.44,00:03:06,1.55%,59,"$12,126.57"
bm23 / email,20170223,"3,812",19.60%,747,27.75%,4.57,00:04:06,1.29%,49,"$8,200.45"
(direct) / (none),20170924,"3,807",75.78%,"2,885",64.80%,3.13,00:02:14,0.45%,17,"$2,953.59"
google / organic,20171006,"3,807",50.04%,"1,905",29.94%,5.61,00:04:47,0.81%,31,"$6,787.09"
google / organic,20170819,"3,806",49.21%,"1,873",27.30%,5.58,00:04:21,0.45%,17,"$3,850.99"
(direct) / (none),20170331,"3,805",72.90%,"2,774",26.20%,2.75,00:02:01,0.58%,22,"$3,942.75"
facebook / paidsocial,20161222,"3,802",23.78%,904,16.52%,6.21,00:05:24,1.24%,47,"$6,498.68"
google / organic,20171107,"3,802",53.55%,"2,036",29.48%,3.62,00:03:25,0.58%,22,"$2,637.32"
ls / affiliate,20170202,"3,800",52.55%,"1,997",24.03%,4.15,00:03:45,1.76%,67,"$10,416.52"
m.facebook.com / referral,20161024,"3,796",58.80%,"2,232",35.22%,3.95,00:02:47,0.29%,11,"$1,271.56"
(direct) / (none),20170610,"3,794",76.57%,"2,905",36.56%,2.61,00:01:41,0.42%,16,"$2,573.63"
eean / affiliate,20160803,"3,789",25.86%,980,25.55%,4.89,00:04:54,2.67%,101,"$14,848.63"
(direct) / (none),20170520,"3,787",79.17%,"2,998",37.50%,2.71,00:01:49,0.40%,15,"$2,633.74"
google / organic,20171102,"3,782",51.69%,"1,955",30.80%,3.58,00:03:22,0.58%,22,"$3,263.58"
ls / affiliate,20161205,"3,778",55.90%,"2,112",18.82%,3.29,00:02:40,1.61%,61,"$8,358.61"
(direct) / (none),20170930,"3,776",76.48%,"2,888",63.53%,3.18,00:02:22,0.74%,28,"$4,684.14"
bm23 / email,20170718,"3,774",21.46%,810,24.01%,5.15,00:04:18,1.59%,60,"$9,842.73"
ls / affiliate,20170317,"3,773",58.65%,"2,213",25.79%,3.22,00:02:59,1.72%,65,"$11,218.26"
Rebecca Minkoff Newsletter 2016 Welcome / email,20160803,"3,770",16.02%,604,24.85%,4.45,00:03:57,1.25%,47,"$9,268.77"
google / organic,20170609,"3,768",49.58%,"1,868",21.26%,4.66,00:03:52,0.48%,18,"$2,682.16"
bm23 / email,20171009,"3,761",28.24%,"1,062",33.82%,4.57,00:03:50,0.98%,37,"$7,084.51"
Rebecca Minkoff Newsletter / email,20160428,"3,761",23.00%,865,24.75%,4.64,00:04:21,1.14%,43,"$7,637.22"
google / organic,20160723,"3,758",51.01%,"1,917",18.39%,5.15,00:04:13,0.77%,29,"$4,047.98"
bm23 / email,20161016,"3,757",25.53%,959,25.37%,4.31,00:03:42,1.12%,42,"$7,084.25"
ls / affiliate,20170303,"3,757",60.37%,"2,268",28.35%,3.09,00:02:38,1.60%,60,"$8,821.53"
Rebecca Minkoff Newsletter 2016 / email,20160701,"3,756",24.25%,911,25.35%,4.05,00:03:42,0.59%,22,"$3,178.07"
(direct) / (none),20170404,"3,753",72.80%,"2,732",22.78%,2.78,00:02:01,0.64%,24,"$4,032.13"
bm23 / email,20170410,"3,748",25.80%,967,33.59%,3.63,00:03:07,0.69%,26,"$6,976.49"
bm23 / email,20160626,"3,747",25.33%,949,35.98%,3.66,00:02:59,1.12%,42,"$5,964.71"
google / organic,20170805,"3,743",49.32%,"1,846",24.31%,5.24,00:04:15,0.45%,17,"$3,555.27"
google / cpc,20160827,"3,740",45.99%,"1,720",18.18%,5.29,00:03:50,0.83%,31,"$5,421.97"
google / cpc,20170819,"3,740",48.98%,"1,832",34.71%,4.65,00:03:21,0.51%,19,"$3,098.50"
ls / affiliate,20161015,"3,737",39.31%,"1,469",27.19%,4.15,00:03:48,2.65%,99,"$12,744.50"
google / cpc,20171006,"3,736",50.59%,"1,890",35.39%,4.56,00:03:32,1.20%,45,"$7,535.60"
google / cpc,20170415,"3,735",46.64%,"1,742",16.33%,4.87,00:03:46,0.91%,34,"$5,641.78"
(direct) / (none),20171005,"3,731",74.67%,"2,786",64.03%,3.36,00:02:36,0.56%,21,"$3,156.00"
eean / affiliate,20160516,"3,728",28.14%,"1,049",12.34%,3.88,00:03:53,2.58%,96,"$13,623.49"
Instagram / paidsocial,20170812,"3,719",31.62%,"1,176",25.11%,5.25,00:04:23,1.05%,39,"$5,297.77"
ls / affiliate,20170307,"3,718",63.10%,"2,346",26.63%,2.88,00:02:19,1.59%,59,"$9,869.91"
google / organic,20171007,"3,716",49.14%,"1,826",28.44%,5.66,00:04:59,0.51%,19,"$3,384.44"
bm23 / email,20161002,"3,715",20.62%,766,33.89%,4.79,00:04:14,1.53%,57,"$10,745.99"
(direct) / (none),20170403,"3,713",72.29%,"2,684",19.88%,2.81,00:02:03,0.67%,25,"$4,270.89"
eean / affiliate,20160720,"3,712",49.27%,"1,829",42.70%,3.44,00:02:37,1.08%,40,"$6,147.34"
ls / affiliate,20170122,"3,711",45.84%,"1,701",19.00%,3.09,00:02:40,0.84%,31,"$4,295.47"
m.facebook.com / referral,20160510,"3,706",58.53%,"2,169",12.92%,4.23,00:04:00,0.00%,0,$0.00
bm23 / email,20160722,"3,703",22.12%,819,33.24%,3.68,00:03:11,1.30%,48,"$6,816.08"
google / organic,20171108,"3,702",53.59%,"1,984",30.01%,3.56,00:03:34,0.51%,19,"$2,925.89"
bm23 / email,20170701,"3,701",20.67%,765,31.64%,4.79,00:04:30,1.41%,52,"$7,472.88"
google / organic,20171104,"3,701",53.63%,"1,985",29.15%,3.73,00:03:44,0.59%,22,"$3,996.63"
(direct) / (none),20170330,"3,700",71.51%,"2,646",19.30%,3.00,00:02:21,0.78%,29,"$4,839.47"
google / cpc,20170719,"3,700",49.78%,"1,842",17.57%,4.44,00:03:00,0.62%,23,"$3,801.12"
google / organic,20170923,"3,699",49.09%,"1,816",28.60%,5.57,00:04:31,0.57%,21,"$4,499.49"
(direct) / (none),20170402,"3,695",73.53%,"2,717",19.59%,2.97,00:02:06,0.38%,14,"$2,627.54"
google / cpc,20160430,"3,694",49.21%,"1,818",13.91%,5.15,00:04:04,1.35%,50,"$8,809.51"
google / organic,20170610,"3,689",51.18%,"1,888",22.28%,4.88,00:04:00,0.60%,22,"$2,954.57"
Instagram / paidsocial,20170511,"3,686",34.54%,"1,273",23.98%,4.63,00:04:02,1.06%,39,"$7,185.70"
Rebecca Minkoff Newsletter 2016 / email,20160705,"3,686",20.51%,756,27.48%,3.76,00:03:20,0.76%,28,"$4,490.47"
cj / affiliate,20160831,"3,684",53.94%,"1,987",33.01%,3.61,00:03:14,1.11%,41,"$8,336.08"
bm23 / email,20170412,"3,678",27.95%,"1,028",30.45%,3.44,00:02:57,1.06%,39,"$6,661.36"
google / cpc,20161022,"3,678",51.85%,"1,907",18.05%,5.71,00:04:18,0.54%,20,"$2,928.13"
m.facebook.com / referral,20161025,"3,676",52.23%,"1,920",33.11%,3.91,00:02:58,0.05%,2,$217.59
(direct) / (none),20170410,"3,674",71.91%,"2,642",22.73%,2.66,00:01:55,0.52%,19,"$3,051.42"
(direct) / (none),20170412,"3,674",72.81%,"2,675",20.90%,2.76,00:02:02,0.52%,19,"$3,054.72"
(direct) / (none),20171006,"3,673",74.08%,"2,721",64.74%,3.19,00:02:26,0.52%,19,"$3,550.72"
(direct) / (none),20170923,"3,672",76.47%,"2,808",64.68%,3.15,00:02:16,0.35%,13,"$2,081.83"
eean / affiliate,20160702,"3,672",30.64%,"1,125",19.64%,4.28,00:04:06,1.25%,46,"$6,221.95"
google / cpc,20160429,"3,670",48.26%,"1,771",12.59%,5.04,00:03:56,1.14%,42,"$7,557.62"
bm23 / email,20170112,"3,668",14.80%,543,25.19%,5.57,00:05:03,2.13%,78,"$12,232.50"
eean / affiliate,20160312,"3,662",50.74%,"1,858",21.25%,3.26,00:03:02,0.49%,18,"$5,230.16"
bm23 / email,20170319,"3,660",23.22%,850,32.79%,4.24,00:03:55,1.28%,47,"$10,689.54"
(direct) / (none),20170417,"3,655",73.90%,"2,701",20.08%,2.88,00:02:11,0.55%,20,"$3,149.24"
cj / affiliate,20161025,"3,651",32.35%,"1,181",25.75%,4.47,00:04:39,1.01%,37,"$6,083.09"
google / cpc,20160422,"3,642",47.50%,"1,730",13.37%,4.88,00:03:51,1.10%,40,"$7,832.78"
(direct) / (none),20170405,"3,637",70.80%,"2,575",20.87%,3.00,00:02:13,0.60%,22,"$2,901.05"
ls / affiliate,20170710,"3,636",44.77%,"1,628",24.12%,5.16,00:05:36,3.41%,124,"$33,992.85"
ls / affiliate,20170201,"3,632",50.00%,"1,816",21.59%,3.93,00:03:34,1.95%,71,"$11,943.51"
bm23 / email,20170316,"3,630",23.69%,860,31.60%,4.30,00:03:49,1.02%,37,"$8,503.36"
cj / affiliate,20160905,"3,628",51.87%,"1,882",26.19%,3.78,00:04:54,1.79%,65,"$9,681.84"
google / cpc,20160616,"3,620",47.27%,"1,711",18.95%,4.98,00:03:51,1.08%,39,"$6,336.28"
m.facebook.com / referral,20160511,"3,619",58.77%,"2,127",14.78%,4.31,00:03:38,0.06%,2,$654.38
google / organic,20171103,"3,618",52.32%,"1,893",29.77%,3.54,00:03:31,0.66%,24,"$7,809.31"
eean / affiliate,20160525,"3,613",27.26%,985,10.96%,4.90,00:04:40,1.38%,50,"$7,825.59"
google / cpc,20170721,"3,611",48.52%,"1,752",16.70%,4.95,00:03:41,0.72%,26,"$4,432.35"
ls / affiliate,20161214,"3,611",47.69%,"1,722",25.48%,3.94,00:03:56,2.88%,104,"$16,806.95"
cj / affiliate,20160623,"3,609",50.15%,"1,810",17.73%,4.41,00:05:07,2.24%,81,"$9,830.97"
ls / affiliate,20170817,"3,596",42.32%,"1,522",25.22%,4.15,00:03:33,1.36%,49,"$9,784.56"
(direct) / (none),20170411,"3,584",73.10%,"2,620",22.13%,2.74,00:02:02,0.59%,21,"$3,226.68"
google / cpc,20160423,"3,583",49.12%,"1,760",12.75%,4.68,00:03:29,0.53%,19,"$4,078.93"
ls / affiliate,20161019,"3,580",43.94%,"1,573",31.76%,3.49,00:03:25,1.28%,46,"$7,696.26"
google / cpc,20161020,"3,577",48.53%,"1,736",13.64%,5.85,00:04:43,0.95%,34,"$7,238.98"
bm23 / email,20170414,"3,576",23.21%,830,32.41%,3.71,00:03:04,0.73%,26,"$4,605.44"
bm23 / email,20160623,"3,571",25.71%,918,35.82%,3.82,00:03:20,1.04%,37,"$5,527.89"
bm23 / email,20160707,"3,571",23.21%,829,34.58%,3.77,00:03:23,1.37%,49,"$6,495.22"
(direct) / (none),20170413,"3,565",72.54%,"2,586",20.31%,2.86,00:02:03,0.34%,12,"$1,702.30"
ls / affiliate,20170606,"3,558",42.10%,"1,498",24.11%,4.27,00:03:55,2.36%,84,"$15,007.48"
google / cpc,20170413,"3,557",49.51%,"1,761",16.98%,4.62,00:03:36,0.96%,34,"$5,425.90"
bm23 / email,20170901,"3,556",14.51%,516,36.59%,5.01,00:04:25,1.21%,43,"$8,683.10"
google / cpc,20160826,"3,553",47.90%,"1,702",18.63%,5.23,00:03:49,0.96%,34,"$5,666.29"
cj / affiliate,20160821,"3,540",41.02%,"1,452",27.15%,4.29,00:04:33,3.64%,129,"$16,761.60"
Rebecca Minkoff Newsletter / email,20160529,"3,540",12.15%,430,20.34%,4.69,00:04:25,1.07%,38,"$5,420.83"
google / cpc,20160318,"3,539",49.68%,"1,758",19.50%,4.87,00:03:24,0.71%,25,"$4,196.09"
Rebecca Minkoff Newsletter / email,20160601,"3,529",12.41%,438,30.15%,4.70,00:04:24,0.91%,32,"$5,599.42"
(direct) / (none),20170409,"3,528",72.14%,"2,545",20.12%,2.86,00:01:58,0.45%,16,"$3,105.54"
bm23 / email,20160808,"3,527",15.14%,534,30.00%,4.72,00:04:18,1.50%,53,"$16,829.49"
cj / affiliate,20160404,"3,514",68.30%,"2,400",38.33%,1.89,00:01:16,0.34%,12,"$2,862.93"
(direct) / (none),20170414,"3,512",73.95%,"2,597",19.76%,2.78,00:02:03,0.34%,12,"$2,556.21"
ls / affiliate,20170130,"3,505",46.85%,"1,642",22.43%,4.15,00:03:40,1.85%,65,"$9,272.25"
google / organic,20171019,"3,499",56.39%,"1,973",30.67%,3.85,00:03:36,0.66%,23,"$4,164.02"
(direct) / (none),20171007,"3,498",76.82%,"2,687",62.89%,3.26,00:02:19,0.80%,28,"$4,903.35"
