# ----------------------------------------
# rebeccaminkoff.com
# Channels
# 20160209-20171108
# ----------------------------------------

Source / Medium,Date,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Ecommerce Conversion Rate,Transactions,Revenue
ls / affiliate,20161229,"8,655",44.78%,"3,876",22.40%,5.13,00:05:07,3.21%,278,"$33,678.86"
ls / affiliate,20170625,"8,639",48.98%,"4,231",30.04%,3.77,00:03:29,1.57%,136,"$20,452.79"
(direct) / (none),20170420,"8,629",81.03%,"6,992",40.60%,2.82,00:02:08,0.23%,20,"$3,230.16"
ls / affiliate,20170726,"8,615",53.67%,"4,624",34.24%,3.44,00:03:07,1.24%,107,"$16,151.38"
(direct) / (none),20171016,"8,613",71.19%,"6,132",44.00%,3.86,00:03:42,0.64%,55,"$10,601.49"
(direct) / (none),20170515,"8,588",76.86%,"6,601",31.03%,3.91,00:03:31,1.84%,158,"$24,249.09"
google / organic,20170205,"8,582",53.11%,"4,558",17.36%,5.86,00:04:51,0.49%,42,"$12,667.01"
facebook / paidsocial,20160701,"8,563",30.73%,"2,631",23.20%,5.30,00:04:36,0.98%,84,"$14,436.76"
eean / affiliate,20160422,"8,543",44.55%,"3,806",13.29%,3.50,00:03:39,1.03%,88,"$14,050.91"
(direct) / (none),20171015,"8,537",73.20%,"6,249",42.67%,3.85,00:03:36,0.66%,56,"$9,866.49"
bm23 / email,20170222,"8,531",23.67%,"2,019",32.25%,4.11,00:03:43,0.67%,57,"$9,835.76"
(direct) / (none),20160215,"8,515",59.04%,"5,027",20.29%,2.59,00:02:00,0.33%,28,"$5,064.96"
google / cpc,20161029,"8,487",41.44%,"3,517",32.70%,5.01,00:04:11,1.34%,114,"$19,511.63"
(direct) / (none),20171107,"8,476",68.09%,"5,771",44.08%,3.60,00:03:28,0.90%,76,"$12,632.43"
bm23 / email,20170508,"8,453",22.70%,"1,919",14.67%,6.35,00:05:41,1.64%,139,"$22,358.59"
google / organic,20161229,"8,449",44.38%,"3,750",17.00%,6.33,00:05:40,1.37%,116,"$16,938.68"
(direct) / (none),20160515,"8,438",64.29%,"5,425",18.38%,2.93,00:02:27,0.89%,75,"$11,040.30"
(direct) / (none),20160309,"8,437",58.93%,"4,972",17.61%,3.07,00:03:01,0.62%,52,"$13,928.33"
(direct) / (none),20171103,"8,436",67.09%,"5,660",45.51%,3.61,00:03:19,1.07%,90,"$14,079.74"
ls / affiliate,20171031,"8,429",52.82%,"4,452",48.82%,2.99,00:02:45,1.76%,148,"$24,567.10"
ls / affiliate,20170218,"8,416",69.36%,"5,837",29.35%,2.69,00:02:03,1.40%,118,"$19,563.42"
(direct) / (none),20170115,"8,414",65.44%,"5,506",22.96%,2.88,00:02:08,0.43%,36,"$4,373.37"
cj / affiliate,20160226,"8,404",67.31%,"5,657",49.35%,3.07,00:02:44,0.46%,39,"$6,858.70"
facebook / paidsocial,20161123,"8,399",42.20%,"3,544",6.47%,4.14,00:03:28,0.37%,31,"$4,595.74"
google / cpc,20170814,"8,379",49.39%,"4,138",25.53%,4.78,00:03:57,1.50%,126,"$17,553.50"
cj / affiliate,20160629,"8,378",40.37%,"3,382",15.58%,4.45,00:05:00,2.47%,207,"$30,979.36"
ls / affiliate,20170206,"8,375",52.92%,"4,432",30.65%,2.42,00:01:55,1.01%,85,"$14,623.12"
(direct) / (none),20171013,"8,365",73.21%,"6,124",41.78%,4.10,00:03:56,1.73%,145,"$16,385.97"
bm23 / email,20170501,"8,363",24.52%,"2,051",46.67%,2.99,00:02:29,0.63%,53,"$9,187.80"
(direct) / (none),20160210,"8,362",62.99%,"5,267",23.12%,2.58,00:01:52,0.48%,40,"$6,933.32"
google / cpc,20161219,"8,350",40.29%,"3,364",13.93%,6.86,00:05:47,3.25%,271,"$39,344.93"
ls / affiliate,20170221,"8,350",62.51%,"5,220",27.77%,3.18,00:02:53,1.90%,159,"$35,367.70"
facebook / paidsocial,20160629,"8,346",20.39%,"1,702",18.15%,5.46,00:05:02,1.05%,88,"$13,076.13"
ls / affiliate,20170219,"8,300",59.40%,"4,930",25.66%,2.97,00:02:33,1.53%,127,"$23,028.29"
google / organic,20160516,"8,290",44.55%,"3,693",14.45%,5.00,00:04:45,1.82%,151,"$24,507.29"
google / organic,20160727,"8,284",45.63%,"3,780",14.70%,6.53,00:06:22,1.83%,152,"$22,254.15"
ls / affiliate,20170824,"8,254",51.54%,"4,254",41.59%,3.82,00:03:50,1.61%,133,"$18,175.16"
(direct) / (none),20170114,"8,252",67.62%,"5,580",22.75%,2.81,00:02:04,0.39%,32,"$3,977.02"
(direct) / (none),20171019,"8,233",69.99%,"5,762",43.34%,3.94,00:03:54,0.96%,79,"$16,352.54"
(direct) / (none),20160213,"8,227",59.67%,"4,909",20.00%,2.47,00:01:52,0.24%,20,"$3,656.53"
